5_cc,10_cc,20_cc,50_cc,100_cc,Method,Joint
0.4848698606579787,0.1302838297090939,0.4223095333699679,0.0768787870283941,0.4743429176336095,NN,Joint 1
0.5840371051258222,0.8162155931692388,0.8286296983485513,0.7986602809577634,0.8645849283051686,NN,Joint 2
0.6612422562753191,0.8165540970265246,0.7364880605815141,0.717051838443826,0.8701704863430003,NN,Joint 3
0.0277138204562646,0.1512963338882695,0.2677720608924695,0.2043228685097092,0.2890075616000118,NN,Joint 4
0.6298993942777651,0.103785132915643,0.6229700427423349,0.6085111733848956,0.5666592822741339,NN,Joint 5
0.3654870852594946,0.2570353963593221,0.1099618943127661,0.2844054863953353,0.6037712062351268,NN,Joint 6
0.813011731759741,0.8319862921615749,0.888733945688426,0.9269656130218724,0.9205189814922105,PA,Joint 1
0.8830266232416455,0.918345925828318,0.963668830015233,0.9913611525728488,0.9850684112381762,PA,Joint 2
0.9012988889400512,0.9452527479993542,0.9695808244272444,0.992445366246373,0.9878256705545876,PA,Joint 3
0.5536223980849841,0.6229356871366999,0.7402137493641632,0.8370466821392726,0.6309569693790418,PA,Joint 4
0.6740276973153982,0.789302879650249,0.8163756479893012,0.9438841102988892,0.8373535226054225,PA,Joint 5
0.7956416091918916,0.729419140449239,0.8316777194689338,0.9363686735516172,0.8787625399673558,PA,Joint 6
0.3452055705636669,0.0566024358085794,0.5453031667140756,0.0798887065787619,0.1740709761052052,PG,Joint 1
0.5055771588501006,0.7536790166932308,0.7566102951418278,0.8042936585340046,0.8667644727068444,PG,Joint 2
0.42027848515678,0.7730892524066808,0.6043068769227179,0.776833770840395,0.8030974652372485,PG,Joint 3
0.3627368746916827,0.1074370130335,0.1075579739680001,0.2835415044617371,0.2234643413510196,PG,Joint 4
0.2429172309992991,0.4339233805990799,0.6306337959792209,0.4983665566147106,0.4160457416420047,PG,Joint 5
0.1569578622734985,0.2246712363482431,0.3189842385797831,0.2055493508435283,0.1850839355343782,PG,Joint 6
