Method,Joint,rad_dsam_cc,rad_dsam_nrmse,rad_dsam_puma_noG_cc,rad_dsam_puma_noG_nrmse
NN,Joint 1,0.5370540952728277,0.9666605472564698,0.5111207208245371,0.9646647930145263
NN,Joint 2,0.6506960800981342,0.8062028884887695,0.6398309584240824,0.8114097356796265
NN,Joint 3,0.6246647191510963,0.809686255455017,0.6237811527387106,0.7996710300445556
NN,Joint 4,0.2646202923942208,0.9833715558052063,0.2693744710270893,0.9956358671188354
NN,Joint 5,0.2714253112148385,1.0494596242904664,0.2870967716468728,1.0256702184677124
NN,Joint 6,0.20164329283364085,1.0080789566040038,0.205616537878707,1.0376510858535766
PA,Joint 1,0.6805122656916776,0.8355070590972901,0.6889514220119429,0.8423774123191834
PA,Joint 2,0.5006109613267813,0.986779248714447,0.5806770875942525,0.9224431157112122
PA,Joint 3,0.626772789314402,0.7836642742156983,0.5430457013878356,0.8807671308517456
PA,Joint 4,0.5250443281686832,0.8936386704444885,0.551983923411568,0.8701123237609864
PA,Joint 5,0.48892948992502233,0.9414963364601135,0.5251559927002285,0.9576357722282409
PA,Joint 6,0.6724258629084392,0.7850063681602478,0.5704704890485344,0.8800894856452942
PG,Joint 1,0.5874929788138042,0.8492271065711975,0.6429348780359183,0.8045054197311401
PG,Joint 2,0.5618100339318756,0.9544156432151795,0.521149904521246,0.964893901348114
PG,Joint 3,0.6380173243601749,0.7994708299636841,0.6398705291997542,0.8062517881393433
PG,Joint 4,0.15650078648855842,1.069971752166748,0.24667352687690308,1.0043403029441833
PG,Joint 5,0.34439246015577096,0.9969090223312378,0.37650313249150286,0.9904194831848144
PG,Joint 6,0.03310735170459726,1.1201374530792236,0.2304807715727652,1.0307999134063721
