,h_dim,z_dim,n_layers,seq_len_train,batch_size,lr_scheduler_nepochs,lr_scheduler_factor,model_param,marginal_likeli,vaf,rmse
0,70,5,1,64,128,10,10,90312,-1.768765512511607,68.86074167228728,1.4033075687418517
0,70,5,1,64,128,10,10,90312,-1.761127789535643,68.78863759937308,1.402365981851967
0,70,5,1,64,128,10,10,90312,-1.7558905762928743,69.75023603811361,1.3976493747169296
0,70,5,1,64,128,10,10,90312,-1.752802587913935,69.07977060660487,1.3936507659711008
0,70,5,1,64,128,10,10,90312,-1.7532425224054744,69.13337645874648,1.3923597124116498
0,70,5,1,64,128,10,10,90312,-1.7712719889196902,69.09068997182723,1.4122612567647335
0,70,5,1,64,128,10,10,90312,-1.763192686541882,69.32851544630472,1.4043836105556264
0,70,5,1,64,128,10,10,90312,-1.7905378349648,68.51465484959644,1.4305156615234995
0,70,5,1,64,128,10,10,90312,-1.7588961474167937,68.65806577476926,1.3947195813272257
0,70,5,1,64,128,10,10,90312,-1.7775748486685417,68.74461434698074,1.4276913879063184
0,70,5,1,64,128,10,10,90312,-1.7663998393679918,68.31720020710536,1.4038774760055353
0,70,5,1,64,128,10,10,90312,-1.7774572770473562,68.58310233852028,1.4158902754074136
0,70,5,1,64,128,10,10,90312,-1.7807889381149238,68.34463906731327,1.424156365636654
0,70,5,1,64,128,10,10,90312,-1.7769674034194933,68.17845896831413,1.4244591412674221
0,70,5,1,64,128,10,10,90312,-1.7639026114531766,68.85913830086871,1.4046678773203933
0,70,5,1,64,128,10,10,90312,-1.8081856042927233,66.37646645621425,1.4538711220926586
0,70,5,1,64,128,10,10,90312,-1.782752108748047,67.91516575713399,1.4240394539853103
0,70,5,1,64,128,10,10,90312,-1.746675145827174,69.30354436132711,1.3849937805529577
0,70,5,1,64,128,10,10,90312,-1.7935471525830544,68.26204449460548,1.435759857291928
0,70,5,1,64,128,10,10,90312,-1.7634897896877322,69.32348414307778,1.396688883824521
0,70,5,1,64,128,10,10,90312,-1.7733478371690754,68.75077477701667,1.4100861075975202
0,70,5,1,64,128,10,10,90312,-1.7585450651192018,69.42099891004231,1.3977652001215515
0,70,5,1,64,128,10,10,90312,-1.7577879263625291,69.30199040030887,1.3988569124494297
0,70,5,1,64,128,10,10,90312,-1.769119492366906,68.8120398299963,1.4061696179875391
0,70,5,1,64,128,10,10,90312,-1.7764196410521556,68.66658300263498,1.4154220001623665
0,70,5,1,64,128,10,10,90312,-1.7765569134801804,68.14260515531151,1.4239998560753295
0,70,5,1,64,128,10,10,90312,-1.7850187884927315,67.78278997370155,1.4320430331456155
0,70,5,1,64,128,10,10,90312,-1.7631203641850433,69.10520191404501,1.3992117843480103
0,70,5,1,64,128,10,10,90312,-1.743610761906315,69.3824688028557,1.3815545428572742
0,70,5,1,64,128,10,10,90312,-1.7897185783296525,67.41003576317657,1.4347969938661589
0,70,5,1,64,128,10,10,90312,-1.7715636770615528,68.28766042915831,1.4155373285049606
0,70,5,1,64,128,10,10,90312,-1.7882064720473843,67.67275230226275,1.4275043060247943
0,70,5,1,64,128,10,10,90312,-1.812008146204523,66.8657643283486,1.4570774839840235
0,70,5,1,64,128,10,10,90312,-1.7659320187478247,68.98955830775432,1.4081585359113842
0,70,5,1,64,128,10,10,90312,-1.7734797335651609,68.18839812482284,1.4158823490224952
0,70,5,1,64,128,10,10,90312,-1.7767387990853127,68.5034285796513,1.4080511883369287
0,70,5,1,64,128,10,10,90312,-1.7623052435422295,68.8943294063957,1.3959334728139483
0,70,5,1,64,128,10,10,90312,-1.7723480643964242,68.7818104943529,1.4082834703572156
0,70,5,1,64,128,10,10,90312,-1.7888076202125922,67.15747278417219,1.4342756405412158
0,70,5,1,64,128,10,10,90312,-1.7738677348099652,68.65319181692684,1.4099654641671302
0,70,5,1,64,128,10,10,90312,-1.7929336948008658,67.49095659152229,1.4399621775399742
0,70,5,1,64,128,10,10,90312,-1.7917583221519264,68.31088882497349,1.4189312817039366
0,70,5,1,64,128,10,10,90312,-1.7599354762536201,68.93730508677093,1.392975370324758
0,70,5,1,64,128,10,10,90312,-1.7740932625766404,68.92549460785517,1.4149964745591823
0,70,5,1,64,128,10,10,90312,-1.7561689218113097,69.45274947602373,1.394387754913949
0,70,5,1,64,128,10,10,90312,-1.7793059454521418,68.7952117326289,1.4088813271671246
0,70,5,1,64,128,10,10,90312,-1.7808612290159476,67.77259106604832,1.4316859500491357
0,70,5,1,64,128,10,10,90312,-1.763987168591479,68.76197378604702,1.406774131506604
0,70,5,1,64,128,10,10,90312,-1.7745475837898663,68.53388480750193,1.4102647518360845
0,70,5,1,64,128,10,10,90312,-1.748114218898313,69.51570263370483,1.3863207673400793
