Method,Joint,newsimulated_rad_dsam_cc_std,newsimulated_rad_dsam_nrmse_std,newsimulated_rad_cc_std,newsimulated_rad_nrmse_std,newsimulated_rad_dsam_puma_noG_cc_std,newsimulated_rad_dsam_puma_noG_nrmse_std,newsimulated_rad_dsam_puma_cc_std,newsimulated_rad_dsam_puma_nrmse_std,newsimulated_rad_puma_cc_std,newsimulated_rad_puma_nrmse_std,newsimulated_rad_dsam_noG_cc_std,newsimulated_rad_dsam_noG_nrmse_std
NN,Joint 1,0.06971709043738537,0.06867665837416205,,,,,,,,,,
NN,Joint 2,0.005349465170589469,0.019127037171544712,,,,,,,,,,
NN,Joint 3,0.0065997835378567415,0.017112566541279493,,,,,,,,,,
NN,Joint 4,0.039511042863742275,0.0933257065057883,,,,,,,,,,
NN,Joint 5,0.02601560930409824,0.10400688786970874,,,,,,,,,,
NN,Joint 6,0.04634349277158343,0.028041174353850302,,,,,,,,,,
PA,Joint 1,0.011266078945812743,0.012755621992478644,,,,,,,,,,
PA,Joint 2,0.004818855266254151,0.012273870935851732,,,,,,,,,,
PA,Joint 3,0.007641323689538636,0.022880798785206106,,,,,,,,,,
PA,Joint 4,0.012410732400598659,0.031645727997749576,,,,,,,,,,
PA,Joint 5,0.04262726991673049,0.023267874133825795,,,,,,,,,,
PA,Joint 6,0.017777131480354497,0.02919335580052657,,,,,,,,,,
PG,Joint 1,0.03775193585777016,0.04527710581953053,,,,,,,,,,
PG,Joint 2,0.005048691846780265,0.017318142392812246,,,,,,,,,,
PG,Joint 3,0.008628137239718182,0.019805066348917075,,,,,,,,,,
PG,Joint 4,0.04485706362758273,0.10109088572548972,,,,,,,,,,
PG,Joint 5,0.026939480483800203,0.06817401530559083,,,,,,,,,,
PG,Joint 6,0.01830696715023297,0.027337721363128578,,,,,,,,,,
